 NODE_NUM  TIME  DATE   X Y A_CONC     B_CONC    C_CONC
   1           0.00 01/01/2024       0.00     750.00     0.0000     0.0000     0.0000
   2           0.00 01/01/2024       0.75     750.00     0.0000     0.0000     0.0000
   3           0.00 01/01/2024       1.80     750.00     0.0000     0.0000     0.0000
   4           0.00 01/01/2024       3.27     750.00     0.0000     0.0000     0.0000
   5           0.00 01/01/2024       5.00     750.00     0.0000     0.0000     0.0000
   6           0.00 01/01/2024       0.00     749.00     0.0000     0.0000     0.0000
   7           0.00 01/01/2024       0.75     749.00     0.0000     0.0000     0.0000
   8           0.00 01/01/2024       1.80     749.00     0.0000     0.0000     0.0000
   9           0.00 01/01/2024       3.27     749.00     0.0000     0.0000     0.0000
  10           0.00 01/01/2024       5.00     749.00     0.0000     0.0000     0.0000
  11           0.00 01/01/2024       0.00     748.00     0.0000     0.0000     0.0000
  12           0.00 01/01/2024       0.75     748.00     0.0000     0.0000     0.0000
  13           0.00 01/01/2024       1.80     748.00     0.0000     0.0000     0.0000
  14           0.00 01/01/2024       3.27     748.00     0.0000     0.0000     0.0000
  15           0.00 01/01/2024       5.00     748.00     0.0000     0.0000     0.0000
  16           0.00 01/01/2024       0.00     747.00     0.0000     0.0000     0.0000
  17           0.00 01/01/2024       0.75     747.00     0.0000     0.0000     0.0000
  18           0.00 01/01/2024       1.80     747.00     0.0000     0.0000     0.0000
  19           0.00 01/01/2024       3.27     747.00     0.0000     0.0000     0.0000
  20           0.00 01/01/2024       5.00     747.00     0.0000     0.0000     0.0000
  21           0.00 01/01/2024       0.00     745.99     0.0000     0.0000     0.0000
  22           0.00 01/01/2024       0.75     745.99     0.0000     0.0000     0.0000
  23           0.00 01/01/2024       1.80     745.99     0.0000     0.0000     0.0000
  24           0.00 01/01/2024       3.27     745.99     0.0000     0.0000     0.0000
  25           0.00 01/01/2024       5.00     745.99     0.0000     0.0000     0.0000
  26           0.00 01/01/2024       0.00     744.99     0.0000     0.0000     0.0000
  27           0.00 01/01/2024       0.75     744.99     0.0000     0.0000     0.0000
  28           0.00 01/01/2024       1.80     744.99     0.0000     0.0000     0.0000
  29           0.00 01/01/2024       3.27     744.99     0.0000     0.0000     0.0000
  30           0.00 01/01/2024       5.00     744.99     0.0000     0.0000     0.0000
  31           0.00 01/01/2024       0.00     743.98     0.0000     0.0000     0.0000
  32           0.00 01/01/2024       0.75     743.98     0.0000     0.0000     0.0000
  33           0.00 01/01/2024       1.80     743.98     0.0000     0.0000     0.0000
  34           0.00 01/01/2024       3.27     743.98     0.0000     0.0000     0.0000
  35           0.00 01/01/2024       5.00     743.98     0.0000     0.0000     0.0000
  36           0.00 01/01/2024       0.00     742.98     0.0000     0.0000     0.0000
  37           0.00 01/01/2024       0.75     742.98     0.0000     0.0000     0.0000
  38           0.00 01/01/2024       1.80     742.98     0.0000     0.0000     0.0000
  39           0.00 01/01/2024       3.27     742.98     0.0000     0.0000     0.0000
  40           0.00 01/01/2024       5.00     742.98     0.0000     0.0000     0.0000
  41           0.00 01/01/2024       0.00     741.97     0.0000     0.0000     0.0000
  42           0.00 01/01/2024       0.75     741.97     0.0000     0.0000     0.0000
  43           0.00 01/01/2024       1.80     741.97     0.0000     0.0000     0.0000
  44           0.00 01/01/2024       3.27     741.97     0.0000     0.0000     0.0000
  45           0.00 01/01/2024       5.00     741.97     0.0000     0.0000     0.0000
  46           0.00 01/01/2024       0.00     740.96     0.0000     0.0000     0.0000
  47           0.00 01/01/2024       0.75     740.96     0.0000     0.0000     0.0000
  48           0.00 01/01/2024       1.80     740.96     0.0000     0.0000     0.0000
  49           0.00 01/01/2024       3.27     740.96     0.0000     0.0000     0.0000
  50           0.00 01/01/2024       5.00     740.96     0.0000     0.0000     0.0000
  51           0.00 01/01/2024       0.00     739.95     0.0000     0.0000     0.0000
  52           0.00 01/01/2024       0.75     739.95     0.0000     0.0000     0.0000
  53           0.00 01/01/2024       1.80     739.95     0.0000     0.0000     0.0000
  54           0.00 01/01/2024       3.27     739.95     0.0000     0.0000     0.0000
  55           0.00 01/01/2024       5.00     739.95     0.0000     0.0000     0.0000
  56           0.00 01/01/2024       0.00     738.94     0.0000     0.0000     0.0000
  57           0.00 01/01/2024       0.75     738.94     0.0000     0.0000     0.0000
  58           0.00 01/01/2024       1.80     738.94     0.0000     0.0000     0.0000
  59           0.00 01/01/2024       3.27     738.94     0.0000     0.0000     0.0000
  60           0.00 01/01/2024       5.00     738.94     0.0000     0.0000     0.0000
  61           0.00 01/01/2024       0.00     737.93     0.0000     0.0000     0.0000
